Title,Released Year,Scores,Adjusted Score,Info,Synopsis,Director,Cast
House of Usher,1960,84,90244,"Scary, strange, and maybe a little silly,","Based on the classic story ""The Fall of the House of Usher"" by Edgar Allan Poe and directed by legendary...",Roger Corman,"Vincent Price, Myrna Fahey, Mark Damon, Harry Ellerbe"
Thirst,2009,81,85248,The stylish,"Sang-hyun (Song Kang-ho), a respected priest, volunteers for an experimental procedure that may lead to a cure for a deadly...",Park Chan-wook,"Song Kang-ho, Kim Ok-bin, Shin Ha-kyun, Kim Hae-sook"
Split,2016,78,93134,,"Though Kevin (James McAvoy) has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher (Betty Buckley), there remains one still...",M. Night Shyamalan,"James McAvoy, Anya Taylor-Joy, Betty Buckley, Haley Lu Richardson"
The House of the Devil,2009,85,88454,"Though its underlying themes are familiar,","Desperate to make some money so she can move into a new apartment, college student Samantha Hughes (Jocelin Donahue) takes...",Ti West,"Jocelin Donahue, Tom Noonan, Mary Woronov, Greta Gerwig"
Smile,2022,79,89056,Deeply creepy visuals and a standout Sosie Bacon further elevate,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter (Sosie Bacon) starts experiencing frightening occurrences that she...",Parker Finn,"Sosie Bacon, Jessie T. Usher, Kyle Gallner, Robin Weigert"
Werewolves Within,2021,86,93006,,"After a proposed pipeline creates divisions within the small town of Beaverfield, and a snowstorm traps its residents together inside...",Josh Ruben,"Sam Richardson, Milana Vayntrub, George Basil, Sarah Burns"
Bubba Ho-Tep,2002,79,82008,The best movie to star both the King and JFK.,"After falling into a lengthy coma following a freak accident involving hip gyration, a now aged Elvis Presley (Bruce Campbell)...",Don Coscarelli,"Bruce Campbell, Ossie Davis, Bob Ivy, Reggie Bannister"
Halloween,2018,79,100443,,It's been 40 years since Laurie Strode survived a vicious attack from crazed killer Michael Myers on Halloween night. Locked...,David Gordon Green,"Jamie Lee Curtis, Judy Greer, Andi Matichak, Will Patton"
Videodrome,1983,83,88665,"Visually audacious, disorienting, and just plain weird, Videodrome's musings on technology, entertainment, and politics still feel fresh today.","As the president of a trashy TV channel, Max Renn (James Woods) is desperate for new programming to attract viewers....",David Cronenberg,"James Woods, Deborah Harry, Sonja Smits, Peter Dvorsky"
Overlord,2018,81,93267,"Part revisionist war drama, part zombie thriller, and part all-out genre gorefest,","On the eve of D-Day, American paratroopers drop behind enemy lines to penetrate the walls of a fortified church and...",Julius Avery,"Jovan Adepo, Wyatt Russell, Pilou Asbæk, Mathilde Ollivier"
